City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,benjamin constant,-4.3831,-70.0311,31.07,74,40,3.6,BR,1681327191
1,ushuaia,-54.8,-68.3,4.81,60,40,10.8,AR,1681327032
2,nishihara,26.1842,127.7558,22.03,88,40,5.14,JP,1681327191
3,mehamn,71.0357,27.8492,-2.05,74,0,5.66,NO,1681327192
4,bengkulu,-3.8004,102.2655,23.91,91,60,1.61,ID,1681327192
5,yar-sale,66.8333,70.8333,-26.09,97,26,4.49,RU,1681327192
6,tuatapere,-46.1333,167.6833,10.97,95,100,2.65,NZ,1681327192
7,hithadhoo,-0.6,73.0833,28.49,70,11,1.98,MV,1681327193
8,butaritari,3.0707,172.7902,27.41,73,97,1.95,KI,1681327193
9,ambulu,-8.345,113.6058,24.38,93,98,1.09,ID,1681327193
10,guilin,25.2819,110.2864,21.06,90,97,0.23,CN,1681327098
11,yellowknife,62.456,-114.3525,-4.71,74,100,3.09,CA,1681326980
12,port elizabeth,-33.918,25.5701,16.72,87,0,1.54,ZA,1681327091
13,geraldton,-28.7667,114.6,14.23,94,40,4.12,AU,1681327194
14,lebu,-37.6167,-73.65,15.93,80,100,3.71,CL,1681327194
15,kirensk,57.7853,108.1119,-8.99,97,100,1.3,RU,1681327194
16,gotsu,35.0,132.2167,9.89,59,0,3.24,JP,1681327195
17,gat,31.61,34.7642,13.38,100,7,5.08,IL,1681327141
18,puerto escondido,15.85,-97.0667,31.46,66,20,6.17,MX,1681327195
19,salalah,17.0151,54.0924,28.05,74,20,2.06,OM,1681327195
20,itupiranga,-5.1347,-49.3267,33.18,77,39,0.92,BR,1681327015
21,khatanga,71.9667,102.5,-8.74,80,94,10.67,RU,1681327196
22,rikitea,-23.1203,-134.9692,25.24,69,76,5.66,PF,1681327196
23,mahebourg,-20.4081,57.7,24.58,88,20,2.06,MU,1681327196
24,punta arenas,-53.15,-70.9167,7.01,56,0,3.6,CL,1681326913
25,tautira,-17.7333,-149.15,27.0,73,14,3.46,PF,1681327197
26,aden,12.7794,45.0367,28.12,80,69,8.73,YE,1681327197
27,kemijarvi,66.7131,27.4306,-4.86,89,8,2.59,FI,1681327197
28,albany,42.6001,-73.9662,25.03,33,1,5.94,US,1681326959
29,benguela,-12.5763,13.4055,26.33,83,100,1.72,AO,1681327198
30,mataura,-46.1927,168.8643,11.38,98,100,2.72,NZ,1681327198
31,saint-philippe,-21.3585,55.7679,24.77,83,37,0.52,RE,1681327198
32,ayan,56.45,138.1667,-5.72,94,98,6.61,RU,1681327199
33,ilulissat,69.2167,-51.1,-3.99,93,75,2.57,GL,1681327199
34,mahibadhoo,3.7833,72.9667,28.42,76,14,5.17,MV,1681327199
35,guerrero negro,27.9769,-114.0611,18.18,58,98,6.62,MX,1681326914
36,margate,51.3813,1.3862,7.95,88,100,3.58,GB,1681327200
37,barrow,71.2906,-156.7887,-22.99,77,75,5.14,US,1681327200
38,torbay,47.6666,-52.7314,7.43,56,75,5.66,CA,1681327200
39,bambous virieux,-20.3428,57.7575,24.56,88,20,2.06,MU,1681327201
40,varhaug,58.6147,5.6457,7.72,89,100,12.36,NO,1681327201
41,sinnamary,5.3833,-52.95,27.74,75,70,4.38,GF,1681327202
42,jumla,29.2747,82.1838,9.1,43,3,1.87,NP,1681326907
43,mayahi,13.9553,7.6712,30.44,10,17,5.15,NE,1681327202
44,tiksi,71.6872,128.8694,-26.41,100,94,1.25,RU,1681327203
45,arraial do cabo,-22.9661,-42.0278,25.98,73,75,8.23,BR,1681327203
46,dunedin,-45.8742,170.5036,11.56,99,100,0.45,NZ,1681327132
47,namibe,-15.1961,12.1522,23.07,72,42,3.05,AO,1681327204
48,bani walid,31.7566,13.9942,19.27,25,0,4.0,LY,1681327205
49,gafanha da encarnacao,40.6181,-8.733,13.76,68,2,7.6,PT,1681327205
50,bambanglipuro,-7.95,110.2833,25.14,88,100,1.83,ID,1681327052
51,roald,62.5833,6.1333,11.29,50,0,7.2,NO,1681327206
52,muravlenko,63.7898,74.523,-28.16,97,25,3.27,RU,1681327207
53,taltal,-25.4,-70.4833,21.08,69,24,2.74,CL,1681327208
54,kuala terengganu,5.3302,103.1408,26.97,89,20,1.03,MY,1681327208
55,alta floresta,-9.8756,-56.0861,32.9,58,40,2.06,BR,1681327209
56,northam,51.0333,-4.2167,9.23,78,100,15.88,GB,1681327210
57,jamestown,42.097,-79.2353,22.8,40,20,12.86,US,1681327185
58,busselton,-33.65,115.3333,18.62,73,96,7.72,AU,1681327211
59,tikhvin,59.6451,33.5294,2.34,91,73,3.11,RU,1681327211
60,samarai,-10.6167,150.6667,27.63,76,83,1.89,PG,1681327212
61,palmer,42.1584,-72.3287,25.65,26,40,6.17,US,1681327212
62,gorshechnoye,51.5244,38.0365,10.82,50,100,7.59,RU,1681327213
63,bredasdorp,-34.5322,20.0403,14.13,77,100,2.38,ZA,1681327214
64,gazli,40.1333,63.45,24.21,28,100,5.55,UZ,1681327215
65,cape town,-33.9258,18.4232,16.73,69,0,3.09,ZA,1681327200
66,broken hill,-31.95,141.4333,11.48,84,0,4.64,AU,1681327216
67,saldanha,-33.0117,17.9442,16.03,80,100,4.21,ZA,1681327216
68,birobidzhan,48.8,132.95,1.48,64,100,3.49,RU,1681327216
69,leningradskiy,69.3833,178.4167,-21.97,96,100,2.2,RU,1681327217
70,kodiak,57.79,-152.4072,5.73,49,72,6.69,US,1681327217
71,qixingtai,30.4135,111.8874,19.29,76,7,0.25,CN,1681327218
72,mar del plata,-38.0023,-57.5575,17.83,67,40,4.12,AR,1681327141
73,youghal,51.95,-7.8506,7.56,79,100,11.62,IE,1681327208
74,belaya gora,68.5333,146.4167,-18.13,97,95,1.21,RU,1681327220
75,clyde river,70.4692,-68.5914,-13.87,72,100,12.35,CA,1681327220
76,mahajanga,-15.7167,46.3167,26.26,77,1,1.58,MG,1681327221
77,mantua,45.1667,10.7833,15.34,67,100,2.24,IT,1681326636
78,krugersdorp,-26.0858,27.7752,15.12,82,5,2.3,ZA,1681327222
79,narsaq,60.9167,-46.05,4.12,74,41,0.67,GL,1681327222
80,coihaique,-45.5752,-72.0662,13.34,43,0,3.09,CL,1681327223
81,hobart,-42.8794,147.3294,12.92,95,100,1.03,AU,1681327159
82,taoudenni,22.6783,-3.9836,30.17,7,100,2.34,ML,1681327225
83,nome,64.5011,-165.4064,-19.91,64,0,0.0,US,1681327225
84,kavieng,-2.5744,150.7967,26.72,83,100,6.46,PG,1681327226
85,cidreira,-30.1811,-50.2056,27.6,59,100,2.5,BR,1681327226
86,launceston,-41.45,147.1667,12.86,90,3,4.63,AU,1681327227
87,shenkursk,62.1091,42.896,-1.24,94,100,4.28,RU,1681327227
88,abu dhabi,24.4667,54.3667,29.41,44,0,2.57,AE,1681327146
89,coquimbo,-29.9533,-71.3436,18.46,77,94,3.89,CL,1681326522
90,sao filipe,14.8961,-24.4956,22.34,77,13,3.32,CV,1681327229
91,tuktoyaktuk,69.4541,-133.0374,-21.0,71,40,7.72,CA,1681327229
92,talnakh,69.4865,88.3972,-27.11,97,100,2.63,RU,1681327229
93,kropotkin,45.4375,40.5756,11.95,91,100,5.83,RU,1681327230
94,eyl,7.9803,49.8164,28.31,72,99,5.96,SO,1681327230
95,atar,20.5169,-13.0499,31.36,32,100,3.48,MR,1681327231
96,sotnikovo,51.8845,107.4791,1.05,69,75,11.18,RU,1681327231
97,new norfolk,-42.7826,147.0587,12.73,81,67,0.43,AU,1681327232
98,samana,19.2056,-69.3369,31.12,62,20,4.12,DO,1681327233
99,labuhan,-6.8844,112.2051,25.44,90,100,3.99,ID,1681327233
100,lake charles,30.2131,-93.2044,22.99,65,75,6.17,US,1681326973
101,westport,41.1415,-73.3579,28.83,26,0,5.14,US,1681327234
102,rivadavia,-33.1905,-68.4608,15.39,61,100,8.24,AR,1681327234
103,bluff,-46.6,168.3333,11.56,86,100,9.2,NZ,1681327235
104,santa rosa,14.3122,121.1114,25.99,94,100,1.72,PH,1681327235
105,kavaratti,10.5669,72.642,28.71,73,3,2.72,IN,1681327235
106,bonthe,7.5264,-12.505,27.41,77,39,5.37,SL,1681327236
107,goundam,16.4145,-3.6708,32.19,12,76,7.01,ML,1681327236
108,mudgee,-32.5943,149.5871,11.55,96,15,1.91,AU,1681327073
109,atuona,-9.8,-139.0333,27.29,67,100,5.93,PF,1681327237
110,upernavik,72.7868,-56.1549,-6.17,85,63,3.2,GL,1681327092
111,carnarvon,-24.8667,113.6333,21.81,75,8,9.43,AU,1681327237
112,victoria,22.2855,114.1577,23.44,90,100,0.89,HK,1681327219
113,irbeyskoye,55.6428,95.4522,-3.36,66,97,4.41,RU,1681327238
114,saint george,37.1041,-113.5841,27.36,19,0,9.26,US,1681327238
115,hamilton,39.1834,-84.5333,26.16,32,0,4.63,US,1681327169
116,aleksandrovskiy zavod,50.9237,117.9374,-7.94,80,7,1.05,RU,1681327239
117,soyo,-6.1349,12.3689,25.72,86,100,2.34,AO,1681327239
118,talara,-4.5772,-81.2719,28.42,78,75,2.06,PE,1681327240
119,kaitangata,-46.2817,169.8464,11.3,93,100,4.79,NZ,1681327240
120,la rioja,42.25,-2.5,3.88,98,100,1.79,ES,1681327240
121,terney,45.0503,136.6092,2.33,63,100,3.92,RU,1681327240
122,hilo,19.7297,-155.09,24.03,82,100,2.24,US,1681327177
123,ahipara,-35.1667,173.1667,16.13,94,44,2.58,NZ,1681327241
124,san cristobal,7.7669,-72.225,28.1,54,100,3.02,VE,1681327241
125,aykhal,66.0,111.5,-19.29,87,87,3.83,RU,1681327241
126,buzmeyin,38.0507,58.2056,24.85,22,20,3.09,TM,1681327241
127,killybegs,54.6333,-8.45,7.84,77,100,13.3,IE,1681327242
128,port hardy,50.6996,-127.4199,8.1,71,40,6.69,CA,1681327045
129,barra do garcas,-15.89,-52.2567,25.32,94,75,2.06,BR,1681327242
130,george town,5.4112,100.3354,28.97,89,20,1.03,MY,1681327243
131,dikson,73.5069,80.5464,-21.36,95,90,8.1,RU,1681327243
132,chernyshevskiy,63.0128,112.4714,-18.1,98,85,1.76,RU,1681327243
133,tura,25.5198,90.2201,24.2,27,0,1.89,IN,1681327243
134,tasiilaq,65.6145,-37.6368,2.09,92,70,5.07,GL,1681327244
135,kendari,-3.945,122.4989,24.59,92,97,0.41,ID,1681327244
136,raudeberg,61.9875,5.1352,9.93,49,86,3.11,NO,1681327244
137,marystown,47.1666,-55.1483,3.81,100,100,1.34,CA,1681327088
138,russell,32.3502,-85.1999,24.78,29,20,3.6,US,1681327244
139,georgetown,5.4112,100.3354,28.97,89,20,1.03,MY,1681327148
140,angren,41.0167,70.1436,14.46,55,32,3.45,UZ,1681327245
141,vostok,46.4856,135.8833,-1.93,72,99,4.24,RU,1681327245
142,te anau,-45.4167,167.7167,10.07,96,100,1.89,NZ,1681327245
143,saint-francois,46.4154,3.9054,7.76,73,75,2.06,FR,1681327014
144,ancud,-41.8697,-73.8203,15.87,60,100,2.25,CL,1681327246
145,kapaa,22.0752,-159.319,24.99,83,20,8.75,US,1681327247
146,avarua,-21.2078,-159.775,27.03,74,98,4.63,CK,1681327247
147,ostrovnoy,68.0531,39.5131,-7.59,76,100,2.36,RU,1681327248
